title;price;zalog;animals;condition;seller;date;address;technics;description;url;rand_header
Дом 20 м² на участке 2 сот.;15000;залог 7 500 ₽;нет;да;Арендодатель;сегодня в 11:32;Краснодарский край, Краснодар, жилой массив Пашковский, Кубанская ул.;кондиционер, холодильник, плита, стиральная машина, телевизор;Я собственник!!!Внимание❗️❗️❗️Читайте внимательно❗️❗️❗️Студия расчитана на 1-2 студентовВ Пашковке по ул. Кубанская и Карасунская Сдам в маленькую квартиру--«министудия» 20 кв.м, вся площадь. Душевая естьи с/у и постирочная есть. В студии   есть :  Стиральная машинка,Кондиционер, Телевизор, кухонный гарнитур, шкаф для личных вещей, Двухярусная кровать - Икеа, обеденный стол, стулья, холодильник,Парковка для легкового транспорта,возьмем порядочных и не пьющих! Без залога❗️❗️❗️;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_2_sot._1942383554;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 50 м² на участке 4 сот.;10000;"Сдам жилую дачу порядочной семье на длительный срок. 3 комнаты ( прихожая 2.5\5 метров, кухня гостинная 3.5\5 метров, спальня 4.5\4.5 метра), сан. узел в доме .  Отопление котел (дрова, уголь, электричество), вода - скважина, насосная станция с автоматикой и бойлер, участок 4 сотки полностью огороженный, заезд для машины ворота 5 метров. сарай 16 кв.м.. Мебель: два дивана, кухня, шифонер, электроплитка, холодильник, стол, 2 табуретки, 1 кресла, трюмо, телевизор, Туалет и душ в доме, горячая и холодная вода.Остановка ""Канал"" до остановки 10 минут пешком, много транспорта, магазинов рядом живут соседи. Предоплата за месяц вперед 10000 руб + залог 10000 руб.";да;нет;Агентство;вчера в 03:25;Краснодарский край, муниципальное образование Краснодар, пос. Знаменский, СНТ Краснодарсельмаш-1, Текстильная ул., 304;холодильник, плита, стиральная машина, водонагреватель, телевизор;"Сдам жилую дачу порядочной семье на длительный срок. 3 комнаты ( прихожая 2.5\5 метров, кухня гостинная 3.5\5 метров, спальня 4.5\4.5 метра), сан. узел в доме .  Отопление котел (дрова, уголь, электричество), вода - скважина, насосная станция с автоматикой и бойлер, участок 4 сотки полностью огороженный, заезд для машины ворота 5 метров. сарай 16 кв.м.. Мебель: два дивана, кухня, шифонер, электроплитка, холодильник, стол, 2 табуретки, 1 кресла, трюмо, телевизор, Туалет и душ в доме, горячая и холодная вода.Остановка ""Канал"" до остановки 10 минут пешком, много транспорта, магазинов рядом живут соседи. Предоплата за месяц вперед 10000 руб + залог 10000 руб.";https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_4_sot._1738579053;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 2,5 сот.;15000;залог 15 000 ₽, без комиссии;нет;нет;Арендодатель;25 марта в 10:55;Краснодарский край, Краснодар, 1-й пр. Красных Зорь;холодильник, плита, стиральная машина;Сдается однокомнатная часть частного дома на длительный срок в районе КубГТУ (рассмотрю студетов, для 1-2 человек).Есть все необходимое для комфортного проживания.В шаговой доступности остановки общественного транспорта, рынок, КубГТУ, иснтиутут Культуры и Искусства, магазины, школа и тд.ПРОЖИВАНИЕ БЕЗ ХОХЯЕВ. ОТДЕЛЬНЫЙ ВХОД, ДВОР, ТИХИЕ ДРУЖЕЛЮБНЫЕ СОСЕДИ.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_25_sot._2367248568;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 50 м² на участке 1 сот.;7000;залог 3 500 ₽;нет;нет;Арендодатель;28 марта в 18:37;Краснодарский край, Краснодар, микрорайон Дубинка, ул. Фурманова, 100;плита, водонагреватель;Я собственник, сдаю для одного -двоих жильцов половину  частного дома с отдельным входом.  Район улиц Ставропольской  и ул. Шевченко. По улице Фурманова 100. Тихое место. 150 метров до ул Ставропольской. Дом из самана обложенного кирпичом .Имеется 2 дивана,шифоньер ,шкафы , холодильник, эл . плита , эл. боллер и вся необходимая мебель .отопление газовое.   В а н н а я,  т у а л е т - общие с живущей во второй половине дома девушкой . Оплата 7 000 руб в месяц + коммунальные- обычно до 1 000 руб. А так же залог за половину месяца. Заселение без животных. Дом старый , мебель старая но ещё нормальная.   Фотографии соответствуют. Квартира свободна.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_1_sot._1377185580;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 46 м² на участке 3 сот.;11000;без залога, комиссия 7 040 ₽;нет;да;Агентство;28 марта в 18:54;Краснодарский край, Краснодар, Карасунский внутригородской округ, микрорайон Камвольно-суконный Комбинат, 1-й Продольный пр.;кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор;р-н КСККирп. небольшой дом, состоящий из  кухни, прихожей и 2-х смежных комнат. Ванна установлена в зоне кухни. Туалет во дворе. ФОТО соответствуют.Есть огород, плодовые деревья и кустарники. Въезда нетКоммуналка оплачивается отдельно. ЗАЛОГ 5тр.Сдается на длительный срок, без животных.Двор без хозяев. Во дворе отдельно  стоит 3-ком дом, там живут квартиранты (семейная пара) до июня м-ца. ----------------------------------------------------------------------------------------Сдает Агентство, оплата комиссии агенту - по фактуЗАСЕЛЕНИЯ.Холостой просмотр 100р;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_46_m_na_uchastke_3_sot._2370816615;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 5 сот.;15000;залог 15 000 ₽;нет;нет;Арендодатель;сегодня в 08:45;Краснодарский край, г.о. Краснодар, станица Старокорсунская, Чонгарская ул.;not found;В доме вся необходимая мебель, свежий ремонт. Газовое отопление. 15000 в мес. + коммуналка. Залог можно разделить на два месяца. В одном дворе с хозяйкой.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_5_sot._2013301123;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 20 м² на участке 1 сот.;8000;без залога;нет;нет;Арендодатель;30 марта в 06:42;Краснодарский край, муниципальное образование Краснодар, садовое товарищество Делюшес, Сиреневая ул., 2/1;not found;Студия. На участке несколько домов. Рядом остановка и магазин. Местоположение указано. Коммуналка 2000;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_1_sot._2357679363;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 50 м² на участке 1 сот.;16000;залог 16 000 ₽;нет;да;Арендодатель;28 марта в 20:36;Краснодарский край, Краснодар, ул. Димитрова, 40;кондиционер, холодильник, плита, стиральная машина, водонагреватель;Сдаётся на длительный срок домик. Две комнаты. Все удобства. Кондиционер. Коммунальные платежи не включены в стоимость аренды. Не больше 2-х человек.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_1_sot._1443006274;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 30 м² на участке 5 сот.;14000;залог 7 000 ₽;нет;да;Арендодатель;30 марта в 18:41;Краснодарский край, Краснодар, микрорайон 2-я Площадка, Кореновский пр., 5;кондиционер, холодильник, плита, микроволновка, стиральная машина, телевизор;Сдается часть дома для порядочных людей, гарантирующих чистоту, тишину и порядок. Все необходимое для проживания имеется.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_30_m_na_uchastke_5_sot._2361448737;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 35 м² на участке 1 сот.;10000;без залога;нет;да;Агентство;30 марта в 19:31;Краснодарский край, Краснодар, садовое товарищество Медик, Майская ул., 8;кондиционер, холодильник, плита, стиральная машина, телевизор;все.ест.все.услове.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_35_m_na_uchastke_1_sot._2376529680;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 28 м² на участке 1 сот.;15000;залог 30 000 ₽;нет;да;Арендодатель;30 марта в 20:18;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, ул. Братьев Игнатовых, 90;кондиционер, холодильник, плита, стиральная машина, водонагреватель;Полноценная однокомнатная квартира;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_28_m_na_uchastke_1_sot._2348696873;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 60 м² на участке 2 сот.;12000;залог 12 000 ₽, комиссия 6 000 ₽;нет;да;Агентство;26 марта в 15:52;Краснодарский край, Краснодар, ул. Михаила Власова, 246;кондиционер, холодильник, плита, стиральная машина, телевизор;Сдам 1/2 дома. 3 комнаты. Состояние простое. В доме есть холодильник, плита, сплит система, телевизор. Состояние соответствует фотографиям. Санузел в доме, есть душ. Есть придомовая территория. Оплата: 12 000+коммунальные платежи + 12 000 залог (можно разделить на 2 месяца);https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_60_m_na_uchastke_2_sot._2334577479;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 1 сот.;16000;залог 16 000 ₽;нет;нет;Арендодатель;27 марта в 22:56;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, ул. Будённого, 124;плита, стиральная машина, водонагреватель;"Сдаю часть дома рядом с Сенным рынком; Торговым центром Галерея. В доме газ, вода и центральная канализация. Дом состоит из большой комнаты 20м. кв.; спальня 12 и; гардеробная со встроенным шкафом; кухня с мебелью и стиральной машиной; туалетная комната; дворик и отдельный вход. Хорошие соседи. Хочу сдать семье без вредных привычек. Оплата коммунальных платежей по счетчику. Залог 10000 руб при заселении.";https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_1_sot._2340312809;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 55 м² на участке 2 сот.;10000;залог 5 000 ₽, комиссия 5 000 ₽;нет;нет;Арендодатель;18 марта в 10:56;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, ул. Костылева;not found;Читаем внимательно, предлагаем в центральной части города на длительный срок (около 1 года) сдать хорошим людям дом, но не для жизни, а для хранения вещей (под склад чего нибудь), может вам нужен фасовочный цех, гараж.  Дом старой постройки, обычный ремонт. Дом пустой и без мебели. Парковка есть перед домом для авто, удобно выгружать/погружать. В доме все центральные коммуникации. Сан.узел в доме. В доме изолированные 2 комнаты. Возможен торг.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_55_m_na_uchastke_2_sot._2294949291;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 55 м² на участке 3 сот.;16000;залог 16 000 ₽, без комиссии;да;нет;Арендодатель;4 марта в 10:52;Краснодарский край, Краснодар, Гаражная ул.;холодильник, плита, стиральная машина;Здравствуйте! Сдаю дом.Прекрасное расположение, недалко от центра города.Дом одноэтажный, две комнаты (изолированная спальня, проходная гостиная, при необходимости можем поставить диван), отдельная небольшая кухня, санузел.Можно с детьми, животные обговариваются индивидуально.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_55_m_na_uchastke_3_sot._2351617210;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 35 м² на участке 1 сот.;12000;без залога;нет;нет;Агентство;27 марта в 01:06;Краснодарский край, Краснодар, садовое товарищество Медик, Майская ул., 8;кондиционер, холодильник, плита, стиральная машина, водонагреватель, телевизор;все.ест.все.услове1.сотк.земли.места.для.двух.машин.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_35m_na_uchastke_1sot._2376689895;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 54 м² на участке 4 сот.;16000;залог 16 000 ₽;да;нет;Арендодатель;24 марта в 11:19;Краснодарский край, муниципальное образование Краснодар, садовое товарищество Краснодаргорстрой, 4-я Первомайская ул., 64;холодильник, плита, водонагреватель, телевизор;Всем здравствуйте сдаю дом находятся  в очен хорошем месте. Я собственник 18 тыс пишите либо звоните мы купили  новую квартиру из за этого здаём все необходимое имеется в доме. Горячая вода холодная вода.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_54_m_na_uchastke_4_sot._2364345883;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 25 м² на участке 1 сот.;15000;залог 15 000 ₽;да;нет;Арендодатель;19 марта в 20:01;Краснодарский край, Краснодар, Карасунский внутригородской округ, жилой массив Пашковский, ул. Суворова, 3/1;холодильник, плита, стиральная машина, водонагреватель, утюг;Сдам отдельный дом  . В доме есть все необходимое для комфортного проживания . Только что сделанный ремонт , никто до этого не жил . Хорошая транспортная развязка , есть рядом магазины , аптеки , рынок , трамвай с троллейбусом и маршруткой , школа и детский сад , университет и техникум , аэропорт . Отдельно парковочное место для авто .Комуналка отдельно по счетчикам Сдаеться для одного человека Для двоих 17000 комуналка отдельно Кровать двухспальная есть С собакой можно ,с двумя можно ,10 собак можно , содержание только в вольере рядом с домом територия позволяет , дом для людей , он чистый окуратный ремонт сделанный для себя .;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_25_m_na_uchastke_1_sot._2350324074;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 60 м² на участке 4 сот.;15000;залог 7 500 ₽, комиссия 7 500 ₽;да;нет;Арендодатель;24 марта в 17:46;Краснодарский край, Краснодар, ул. Рылеева;холодильник, плита, стиральная машина;Сдаётся половина дома, на ул. Рылеева. Можно для семьи, можно для рабочих. Залоговая сумма, 5000 руб.Более подробная информация, по телефону.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_60_m_na_uchastke_4_sot._2352410171;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 32 м² на участке 1 сот.;16000;без залога;нет;да;Арендодатель;27 марта в 15:42;Краснодарский край, Краснодар, Центральный округ, микрорайон Центральный, ул. Митрофана Седина, 14;кондиционер, холодильник, плита, стиральная машина;Медакадемия - 200метров. Собственник сдает дом в центре Краснодара. Дом свежий ремонт. Оплата сразу за 2 месяца (первый и последний). 2 комнаты, кухня, туалет, душ. Есть место для авто во дворе. Можно с детьми, но без кошечек и собачек. Можно по перечислению для сотрудников компаний.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_32_m_na_uchastke_1_sot._2129453477;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 32 м² на участке 1 сот.;16000;залог 32 000 ₽;not found;нет;Арендодатель;29 марта в 12:53;Краснодарский край, Краснодар;not found;Сдаю 2к дом частный,  туалет на улице отдельный. В доме душевая, кухня, техника есть. В аренду входит коммуналка. Остальные вопросы по телефону, по аренде можно поторговаться.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_32_m_na_uchastke_1_sot._2369893648;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 25 м² на участке 1 сот.;15000;залог 15 000 ₽;нет;нет;Агентство;27 марта в 17:11;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, ул. Кирова, 35;холодильник, плита, стиральная машина, водонагреватель, телевизор;СОБСТВЕННИК ! В самом центре города ! Сдам жакт на длительный срок , все необходимое для проживания имеется , залог обязательно + коммуналка  , остальные вопросы по телефону;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_25_m_na_uchastke_1_sot._2349238431;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 45 м² на участке 3 сот.;14000;залог 7 000 ₽;нет;да;Арендодатель;24 марта в 00:53;Краснодарский край, Краснодар, ул. Гагарина;кондиционер, холодильник, плита, микроволновка, стиральная машина, водонагреватель, телевизор, утюг;Дом состоит из 2 раздельных комнат.(одна комната 14кв.м .,вторая 18 кв .м.комнаты раздельные ) В доме есть душевая кабина туалет во дворе .(есть БИО туалет в доме) Есть два  дивана , мебель, пылесос, телевизор,микроволновка,холодильник,  стиральная машина  ,кондиционер Все ,что на фото это реально,.В доме чисто и уютно !!!!Зимой  в  доме тепло !!!Для машины есть парковочное  место. Двор выложен  плиткой.Без животных собак и кошек.В шаговой доступности две школы.парк Дендрарий (где живут белочки,павлины ) редкий вид деревьев.В парке занимаются спортом бегают, есть трек для велоспорта.,гуляют с детьми Место тихое ,безопасное ,есть охрана.Рядом магазины Магнит  ,Табрис. .Мясной Мир ,Все виды транспорта .трамвай , троллейбус ,автобусы, Все в шаговой доступности !!!! Дом сдаю на длительный срок !!!! ХОЗЯЙКА..;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_3_sot._1962290052;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 47 м² на участке 3 сот.;14000;залог 14 000 ₽, без комиссии;да;нет;Арендодатель;10 марта в 10:16;Республика Адыгея, Тахтамукайский р-н, Старобжегокайское сельское поселение, аул Новая Адыгея, Сквозная ул.;холодильник, плита, стиральная машина;Сдам часть дома. ПРОЖИВАНИЕ БЕЗ ХОЗЯЕВ, ХОРОШИЕ СОСЕДИ. Отдельный вход, двор с парковочным местом. Спальня, кухня-столовая, санузел. Расположение: Новая Адыгея (ул.Сквозная), до центра Краснодара 30 мин.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_47_m_na_uchastke_3_sot._2349868927;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 55 м² на участке 3 сот.;8000;залог 4 000 ₽;да;нет;Агентство;30 марта в 21:25;Краснодарский край, Краснодар, Фестивальный микрорайон, Малороссийский пр., 3;холодильник, плита, микроволновка, стиральная машина, телевизор;Сдается дом для рабочих, строителей, в центре (Аврора, ФМР). В доме есть все удобства, необходимая мебель и бытовая техника. Удобный и быстрый проезд в любую часть Краснодара. Рядом Семейный магнит. Коммунальные включены в стоимость. Оплата-4000рублей с человека в месяц.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_55_m_na_uchastke_3_sot._457668448;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 50 м² на участке 6 сот.;15000;залог 15 000 ₽, комиссия 7 500 ₽;нет;нет;Агентство;14 марта в 14:02;Краснодарский край, Краснодар, Карасунский внутригородской округ, жилой массив Пашковский;плита;Сдаю часть дома (2 комнаты). По улице 1 го Мая, Пашковка. В доме сделан свежий ремонт, без мебели. Семейным людям на длительный срок.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_50_m_na_uchastke_6_sot._2339279156;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 45 м² на участке 1 сот.;15000;без залога;нет;нет;Арендодатель;23 марта в 18:51;Краснодарский край, Краснодар, Центральный внутригородской округ, микрорайон Центральный, Длинная ул., 6;холодильник, плита, микроволновка, водонагреватель, телевизор;Две комнаты изолированные. Кухня санузел прихожая для одной или двух девочек;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_45_m_na_uchastke_1_sot._2351845676;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 80 м² на участке 5 сот.;10000;залог 5 000 ₽, комиссия 5 000 ₽;да;нет;Агентство;9 марта в 13:50;Краснодарский край, Краснодар, ул. имени В.Н. Мачуги, 124;плита;читаем внимательно без воды Сдается дом  без мебели залог 5 т руб возможно под коммерциюФото соответствуютСдает агенство 5000 руб по факту заселения;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_80_m_na_uchastke_5_sot._2126283657;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 20 м² на участке 1 сот.;10000;без залога;нет;нет;Арендодатель;8 марта в 18:50;Краснодарский край, Краснодар, микрорайон Хлопчато-бумажный Комбинат, 1-й Дунайский пр., 4;not found;10тыс+коммунальные,МОЖНО ПОСУТОЧНО цена договорная,есть ещё варианты во дворе.ДЛЯ РЕБЯТ.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_1_sot._1780275454;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:98.0) Gecko/20100101 Firefox/98.0', 'accept': 'image/avif,image/webp,*/*', 'accept-language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
Дом 30 м² на участке 2 сот.;16000;без залога, комиссия 4 800 ₽;нет;нет;Агентство;16 марта в 19:08;Краснодарский край, Краснодар, Карасунский внутригородской округ, микрорайон Камвольно-суконный Комбинат, Ремесленная ул., 65;not found;Сдается 1/2дома ,три смежные комнаты,кухня, санузел.Три спальных места, холодильник, телевизор, стиральная машина автомат.Отдельный вход,свой дворик,машину можно ставить на улице перед домом.Связь работает плохо, пишет.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_30_m_na_uchastke_2_sot._2266079240;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 20 м² на участке 4 сот.;14000;без залога;нет;нет;Арендодатель;10 марта в 12:58;Краснодарский край, Краснодар, Российский пр., 47;not found;Сдам маленький домик,на территории хозяина,Кухня летняя отдельно на территории ,туалет на первом этаже ,сдается для одного человека ,могу предложить работу водителем Газели там же оплата 30.000 +подработка.;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_20_m_na_uchastke_4_sot._2211985102;"{'user-agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.4844.82 Safari/537.36', 'accept': '*/*', 'accept-language': 'ru,en-US;q=0.9,en;q=0.8'}"
Дом 30 м² на участке 48 сот.;7000;залог 21 000 ₽;да;нет;Арендодатель;9 марта в 23:58;Республика Адыгея, Тахтамукайский р-н, аул Афипсип, Извилистая ул., 9;плита, стиральная машина;Сдается жильё все вопросы по телефону. Цена за ж;https://www.avito.ru/krasnodar/doma_dachi_kottedzhi/dom_30_m_na_uchastke_48_sot._2208061913;"{'User-Agent': 'Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:98.0) Gecko/20100101 Firefox/98.0', 'Accept': 'image/avif,image/webp,*/*', 'Accept-Language': 'ru-RU,ru;q=0.8,en-US;q=0.5,en;q=0.3'}"
